team,logoId,conference,wins,losses,ties,win_pct,pass_att,pass_comp,pass_yds,pass_tds,pass_ints,pass_ints_raw,pass_ints_adjustment,pass_sacks,qb_rating,rush_att,rush_yds,rush_tds,rush_fum,rush_broken_tackles,rush_yac,rush_20plus,rec_catches,rec_yds,rec_tds,rec_drops,rec_yac,def_sacks,def_ints,def_forced_fum,def_fum_rec,def_tds,def_tackles,def_deflections,punts,punt_avg,punt_net_avg,punts_in_20,punts_touchbacks,fg_att,fg_made,fg_50plus_att,fg_50plus_made,xp_att,xp_made,kickoff_touchbacks,total_off_plays,total_off_yds,total_off_tds,total_turnovers,total_takeaways,pass_yds_per_att,rush_yds_per_att,pass_comp_pct,pass_td_pct,pass_int_pct,sack_rate,rush_td_pct,rush_broken_tackle_rate,rush_yac_pct,rush_explosive_rate,drop_rate,rec_yac_pct,rec_yds_per_catch,td_per_play,yds_per_play,turnover_diff,pass_yds_per_game,rush_yds_per_game,rec_yds_per_game,off_yds_per_game,pass_att_per_game,rush_att_per_game,punts_per_game,def_sacks_per_game,def_ints_per_game,pass_ints_per_game,sacks_allowed_per_game,explosive_plays,explosive_plays_per_game,pass_rush_ratio,fg_pct,fg_50plus_pct,xp_pct,punts_in_20_pct
Colts,9,AFC,11.0,5.0,0.0,0.6875,296.0,221.0,2853.0,15.0,18.0,18.0,0.0,12.0,97.92,302.0,1253.0,17.0,8.0,57.0,412.0,9.0,208.0,2895.0,15.0,13.0,1175.0,24.0,27.0,2.0,0.0,1.0,314.0,54.0,21.0,41.9,36.1,4.0,2.0,21.0,18.0,4.0,2.0,36.0,35.0,16.0,598.0,4106.0,32.0,26.0,27.0,9.638513513513514,4.1490066225165565,74.66216216216216,5.0675675675675675,6.081081081081082,3.896103896103896,5.629139072847682,0.18874172185430463,32.881085395051876,2.980132450331126,5.909090909090909,40.58721934369603,13.91826923076923,0.05351170568561873,6.866220735785953,1.0,178.3125,78.3125,180.9375,256.625,18.5,18.875,1.3125,1.5,1.6875,1.125,0.75,9.0,0.5625,0.9801324503311258,85.71428571428571,50.0,97.22222222222221,19.047619047619047
Commanders,25,NFC,12.0,3.0,1.0,0.78125,286.0,226.0,2602.0,14.0,7.0,7.0,0.0,9.0,106.35,276.0,1566.0,33.0,5.0,57.0,447.0,13.0,207.0,2602.0,14.0,8.0,1474.0,28.5,20.0,5.0,4.0,4.0,309.0,55.0,20.0,38.3,31.35,4.0,2.0,14.0,9.0,4.0,2.0,48.0,48.0,11.0,562.0,4168.0,47.0,12.0,24.0,9.097902097902098,5.673913043478261,79.02097902097903,4.895104895104895,2.4475524475524475,3.050847457627119,11.956521739130435,0.20652173913043478,28.544061302681996,4.710144927536232,3.8461538461538463,56.648731744811684,12.570048309178745,0.08362989323843416,7.4163701067615655,12.0,162.625,97.875,162.625,260.5,17.875,17.25,1.25,1.78125,1.25,0.4375,0.5625,13.0,0.8125,1.036231884057971,64.28571428571429,50.0,100.0,20.0
Cowboys,10,NFC,11.0,5.0,0.0,0.6875,321.0,204.0,2413.0,23.0,21.0,21.0,0.0,17.0,86.55,304.0,1901.0,19.0,4.0,87.0,595.0,15.0,204.0,2413.0,23.0,19.0,1026.0,18.0,23.0,5.0,3.0,4.0,313.0,40.0,17.0,48.24,42.53,5.0,1.0,16.0,14.0,7.0,6.0,45.0,45.0,43.0,625.0,4314.0,42.0,25.0,26.0,7.517133956386293,6.253289473684211,63.55140186915887,7.165109034267912,6.5420560747663545,5.029585798816568,6.25,0.28618421052631576,31.299316149395057,4.934210526315789,8.636363636363637,42.51968503937008,11.82843137254902,0.0672,6.9024,1.0,150.8125,118.8125,150.8125,269.625,20.0625,19.0,1.0625,1.125,1.4375,1.3125,1.0625,15.0,0.9375,1.055921052631579,87.5,85.71428571428571,100.0,29.411764705882355
Dolphins,11,AFC,6.0,10.0,0.0,0.375,356.0,226.0,2550.0,20.0,34.0,34.0,0.0,17.0,71.45,201.0,1121.0,9.0,1.0,60.0,237.0,9.0,224.0,2511.0,20.0,34.0,1161.0,20.0,18.0,11.0,7.0,5.0,328.0,42.0,23.0,47.83,36.3,2.0,8.0,11.0,8.0,3.0,3.0,32.0,31.0,7.0,557.0,3671.0,29.0,35.0,25.0,7.162921348314606,5.577114427860696,63.48314606741573,5.617977528089887,9.550561797752808,4.557640750670242,4.477611940298507,0.29850746268656714,21.141837644959857,4.477611940298507,12.851405622489958,46.236559139784944,11.209821428571429,0.05206463195691203,6.590664272890485,-10.0,159.375,70.0625,156.9375,229.4375,22.25,12.5625,1.4375,1.25,1.125,2.125,1.0625,9.0,0.5625,1.771144278606965,72.72727272727273,100.0,96.875,8.695652173913043
Eagles,12,NFC,8.0,8.0,0.0,0.5,265.0,195.0,2140.0,10.0,17.0,17.0,0.0,30.0,83.69,298.0,2138.0,27.0,9.0,87.0,493.0,22.0,184.0,2140.0,10.0,12.0,1052.0,25.0,18.0,6.0,2.0,3.0,325.0,54.0,32.0,42.91,38.94,7.0,4.0,21.0,14.0,9.0,2.0,39.0,34.0,18.0,563.0,4278.0,37.0,26.0,20.0,8.075471698113208,7.174496644295302,73.58490566037736,3.7735849056603774,6.415094339622642,10.16949152542373,9.060402684563758,0.29194630872483224,23.058933582787652,7.38255033557047,5.978260869565218,49.1588785046729,11.630434782608695,0.06571936056838366,7.5985790408525755,-6.0,133.75,133.625,133.75,267.375,16.5625,18.625,2.0,1.5625,1.125,1.0625,1.875,22.0,1.375,0.889261744966443,66.66666666666666,22.22222222222222,87.17948717948718,21.875
Falcons,13,NFC,4.0,12.0,0.0,0.25,371.0,225.0,3088.0,19.0,30.0,30.0,0.0,13.0,75.72,224.0,1434.0,20.0,7.0,84.0,457.0,12.0,225.0,3088.0,19.0,24.0,1114.0,20.0,23.0,2.0,1.0,1.0,304.0,36.0,21.0,45.67,32.76,1.0,6.0,16.0,11.0,5.0,1.0,38.0,38.0,13.0,595.0,4522.0,39.0,37.0,24.0,8.323450134770889,6.401785714285714,60.64690026954178,5.121293800539084,8.086253369272237,3.3854166666666665,8.928571428571429,0.375,31.868898186889822,5.357142857142857,9.67741935483871,36.075129533678755,13.724444444444444,0.06554621848739496,7.6,-13.0,193.0,89.625,193.0,282.625,23.1875,14.0,1.3125,1.25,1.4375,1.875,0.8125,12.0,0.75,1.65625,68.75,20.0,100.0,4.761904761904762
Giants,15,NFC,9.0,6.0,1.0,0.59375,295.0,187.0,2621.0,23.0,19.0,19.0,0.0,22.0,94.17,221.0,1666.0,18.0,8.0,48.0,370.0,19.0,202.0,2958.0,25.0,25.0,1285.0,29.5,17.0,6.0,2.0,2.0,309.0,41.0,23.0,45.65,37.7,5.0,2.0,9.0,8.0,2.0,1.0,41.0,40.0,26.0,516.0,4287.0,41.0,27.0,19.0,8.884745762711864,7.538461538461538,63.389830508474574,7.796610169491526,6.440677966101695,6.940063091482649,8.144796380090497,0.2171945701357466,22.20888355342137,8.597285067873303,11.009174311926607,43.441514536849226,14.643564356435643,0.07945736434108527,8.30813953488372,-8.0,163.8125,104.125,184.875,267.9375,18.4375,13.8125,1.4375,1.84375,1.0625,1.1875,1.375,19.0,1.1875,1.334841628959276,88.88888888888889,50.0,97.5609756097561,21.73913043478261
Jaguars,16,AFC,8.0,7.0,0.0,0.5333333333333333,304.0,217.0,3091.0,24.0,22.0,22.0,0.0,27.0,103.61,221.0,847.0,14.0,10.0,58.0,296.0,5.0,208.0,3091.0,24.0,26.0,1158.0,16.0,36.0,6.0,3.0,7.0,368.0,40.0,19.0,44.05,37.37,5.0,1.0,18.0,12.0,3.0,1.0,42.0,40.0,12.0,525.0,3938.0,38.0,32.0,39.0,10.167763157894736,3.832579185520362,71.38157894736842,7.894736842105263,7.236842105263158,8.157099697885197,6.334841628959276,0.26244343891402716,34.946871310507674,2.262443438914027,11.013215859030836,37.463604011646716,14.860576923076923,0.07238095238095238,7.500952380952381,7.0,206.06666666666666,56.46666666666667,206.06666666666666,262.53333333333336,20.266666666666666,14.733333333333333,1.2666666666666666,1.0666666666666667,2.4,1.4666666666666666,1.8,5.0,0.3333333333333333,1.3755656108597285,66.66666666666666,33.33333333333333,95.23809523809523,26.31578947368421
Jets,17,AFC,0.0,15.0,0.0,0.0,452.0,285.0,3352.0,23.0,26.0,26.0,0.0,27.0,82.45,226.0,880.0,7.0,7.0,72.0,248.0,1.0,284.0,3352.0,23.0,21.0,1345.0,21.0,12.0,5.0,7.0,0.0,331.0,28.0,29.0,52.29,45.43,7.0,7.0,21.0,15.0,9.0,3.0,21.0,19.0,34.0,678.0,4232.0,30.0,33.0,19.0,7.415929203539823,3.893805309734513,63.05309734513275,5.0884955752212395,5.752212389380531,5.6367432150313155,3.0973451327433628,0.3185840707964602,28.18181818181818,0.4424778761061947,6.688963210702341,40.12529832935561,11.80281690140845,0.04424778761061947,6.241887905604719,-14.0,223.46666666666667,58.666666666666664,223.46666666666667,282.1333333333333,30.133333333333333,15.066666666666666,1.9333333333333333,1.4,0.8,1.7333333333333334,1.8,1.0,0.06666666666666667,2.0,71.42857142857143,33.33333333333333,90.47619047619048,24.137931034482758
Lions,18,NFC,9.0,6.0,0.0,0.6,322.0,228.0,3157.0,26.0,19.0,19.0,0.0,20.0,102.93,261.0,1116.0,12.0,4.0,60.0,357.0,7.0,228.0,3157.0,26.0,16.0,1487.0,21.0,16.0,4.0,3.0,6.0,300.0,50.0,19.0,44.84,36.89,5.0,5.0,16.0,15.0,5.0,4.0,41.0,40.0,16.0,583.0,4273.0,38.0,23.0,19.0,9.804347826086957,4.275862068965517,70.80745341614907,8.074534161490684,5.900621118012422,5.847953216374268,4.597701149425287,0.22988505747126436,31.989247311827956,2.681992337164751,6.694560669456067,47.101678808995885,13.846491228070175,0.06518010291595197,7.329331046312179,-4.0,210.46666666666667,74.4,210.46666666666667,284.8666666666667,21.466666666666665,17.4,1.2666666666666666,1.4,1.0666666666666667,1.2666666666666666,1.3333333333333333,7.0,0.4666666666666667,1.2337164750957854,93.75,80.0,97.5609756097561,26.31578947368421
