team,logoId,conference,wins,losses,ties,win_pct,pass_att,pass_comp,pass_yds,pass_tds,pass_ints,pass_ints_raw,pass_ints_adjustment,pass_sacks,qb_rating,rush_att,rush_yds,rush_tds,rush_fum,rush_broken_tackles,rush_yac,rush_20plus,rec_catches,rec_yds,rec_tds,rec_drops,rec_yac,def_sacks,def_ints,def_forced_fum,def_fum_rec,def_tds,def_tackles,def_deflections,punts,punt_avg,punt_net_avg,punts_in_20,punts_touchbacks,fg_att,fg_made,fg_50plus_att,fg_50plus_made,xp_att,xp_made,kickoff_touchbacks,total_off_plays,total_off_yds,total_off_tds,total_turnovers,total_takeaways,pass_yds_per_att,rush_yds_per_att,pass_comp_pct,pass_td_pct,pass_int_pct,sack_rate,rush_td_pct,rush_broken_tackle_rate,rush_yac_pct,rush_explosive_rate,drop_rate,rec_yac_pct,rec_yds_per_catch,td_per_play,yds_per_play,turnover_diff,pass_yds_per_game,rush_yds_per_game,rec_yds_per_game,off_yds_per_game,pass_att_per_game,rush_att_per_game,punts_per_game,def_sacks_per_game,def_ints_per_game,pass_ints_per_game,sacks_allowed_per_game,explosive_plays,explosive_plays_per_game,pass_rush_ratio,fg_pct,fg_50plus_pct,xp_pct,punts_in_20_pct
Packers,19,NFC,3.0,12.0,0.0,0.2,326.0,210.0,2411.0,17.0,17.0,17.0,0.0,20.0,87.31,230.0,1048.0,13.0,9.0,76.0,329.0,8.0,209.0,2411.0,17.0,22.0,1255.0,25.0,14.0,10.0,6.0,3.0,330.0,34.0,22.0,49.59,42.27,5.0,3.0,16.0,11.0,2.0,0.0,28.0,28.0,13.0,556.0,3459.0,30.0,26.0,20.0,7.395705521472393,4.556521739130435,64.41717791411043,5.214723926380368,5.214723926380368,5.780346820809249,5.6521739130434785,0.33043478260869563,31.393129770992367,3.4782608695652173,8.444444444444445,52.05309000414766,11.535885167464114,0.0539568345323741,6.221223021582734,-6.0,160.73333333333332,69.86666666666666,160.73333333333332,230.6,21.733333333333334,15.333333333333334,1.4666666666666666,1.6666666666666667,0.9333333333333333,1.1333333333333333,1.3333333333333333,8.0,0.5333333333333333,1.4173913043478261,68.75,0.0,100.0,22.727272727272727
Panthers,20,NFC,10.0,6.0,0.0,0.625,327.0,212.0,2658.0,16.0,16.0,16.0,0.0,32.0,83.95,284.0,1892.0,26.0,9.0,70.0,533.0,19.0,212.0,2658.0,16.0,15.0,1229.0,21.0,33.0,15.0,8.0,5.0,306.0,38.0,25.0,40.28,33.52,7.0,2.0,21.0,17.0,10.0,6.0,43.0,42.0,8.0,611.0,4550.0,42.0,25.0,41.0,8.128440366972477,6.661971830985915,64.83180428134557,4.892966360856269,4.892966360856269,8.913649025069638,9.15492957746479,0.24647887323943662,28.171247357293872,6.690140845070422,6.637168141592921,46.237772761474794,12.537735849056604,0.06873977086743044,7.446808510638298,16.0,166.125,118.25,166.125,284.375,20.4375,17.75,1.5625,1.3125,2.0625,1.0,2.0,19.0,1.1875,1.1514084507042253,80.95238095238095,60.0,97.67441860465115,28.000000000000004
Patriots,21,AFC,9.0,7.0,0.0,0.5625,292.0,192.0,2644.0,19.0,20.0,20.0,0.0,19.0,90.25,213.0,1011.0,10.0,4.0,53.0,370.0,6.0,191.0,2644.0,19.0,10.0,1006.0,28.0,28.0,7.0,2.0,6.0,337.0,44.0,26.0,45.58,37.62,7.0,0.0,15.0,10.0,5.0,2.0,37.0,37.0,15.0,505.0,3655.0,29.0,24.0,30.0,9.054794520547945,4.746478873239437,65.75342465753424,6.506849315068493,6.8493150684931505,6.109324758842444,4.694835680751173,0.24882629107981222,36.59742828882295,2.8169014084507045,5.154639175257731,38.04841149773071,13.842931937172775,0.05742574257425743,7.237623762376238,6.0,165.25,63.1875,165.25,228.4375,18.25,13.3125,1.625,1.75,1.75,1.25,1.1875,6.0,0.375,1.3708920187793427,66.66666666666666,40.0,100.0,26.923076923076923
Raiders,22,AFC,12.0,4.0,0.0,0.75,337.0,236.0,3040.0,35.0,20.0,20.0,0.0,16.0,103.99,269.0,1422.0,16.0,8.0,93.0,521.0,8.0,239.0,3057.0,35.0,18.0,1300.0,24.0,37.0,8.0,2.0,9.0,353.0,44.0,21.0,36.0,26.57,4.0,5.0,18.0,14.0,4.0,2.0,61.0,58.0,7.0,606.0,4462.0,51.0,28.0,39.0,9.020771513353116,5.286245353159852,70.02967359050444,10.385756676557865,5.934718100890208,4.53257790368272,5.947955390334572,0.34572490706319703,36.63853727144866,2.973977695167286,7.199999999999999,42.52535165194635,12.790794979079498,0.08415841584158416,7.363036303630363,11.0,190.0,88.875,191.0625,278.875,21.0625,16.8125,1.3125,1.5,2.3125,1.25,1.0,8.0,0.5,1.2527881040892193,77.77777777777779,50.0,95.08196721311475,19.047619047619047
Rams,23,NFC,12.0,4.0,0.0,0.75,339.0,260.0,3140.0,22.0,12.0,12.0,0.0,10.0,122.64,238.0,1055.0,15.0,5.0,58.0,348.0,10.0,258.0,3120.0,22.0,14.0,1667.0,19.0,17.0,5.0,2.0,2.0,311.0,44.0,17.0,42.82,34.24,4.0,1.0,18.0,18.0,2.0,2.0,34.0,34.0,13.0,577.0,4195.0,37.0,17.0,19.0,9.262536873156343,4.432773109243698,76.69616519174042,6.489675516224189,3.5398230088495577,2.865329512893983,6.302521008403361,0.24369747899159663,32.98578199052133,4.201680672268908,5.363984674329502,53.429487179487175,12.093023255813954,0.06412478336221837,7.270363951473137,2.0,196.25,65.9375,195.0,262.1875,21.1875,14.875,1.0625,1.1875,1.0625,0.75,0.625,10.0,0.625,1.4243697478991597,100.0,100.0,100.0,23.52941176470588
Ravens,24,AFC,12.0,4.0,0.0,0.75,341.0,219.0,2929.0,24.0,20.0,20.0,0.0,24.0,89.35499999999999,239.0,1088.0,13.0,7.0,66.0,306.0,8.0,219.0,2929.0,24.0,21.0,1381.0,22.0,24.0,10.0,5.0,2.0,316.0,54.0,25.0,35.84,33.36,6.0,2.0,13.0,10.0,2.0,0.0,33.0,29.0,10.0,580.0,4017.0,37.0,27.0,29.0,8.589442815249267,4.552301255230126,64.22287390029325,7.038123167155426,5.865102639296188,6.575342465753424,5.439330543933055,0.27615062761506276,28.125,3.3472803347280333,8.974358974358974,47.149197678388525,13.374429223744292,0.06379310344827586,6.925862068965517,2.0,183.0625,68.0,183.0625,251.0625,21.3125,14.9375,1.5625,1.375,1.5,1.25,1.5,8.0,0.5,1.4267782426778242,76.92307692307693,0.0,87.87878787878788,24.0
Saints,26,NFC,11.0,5.0,0.0,0.6875,365.0,279.0,3240.0,32.0,9.0,9.0,0.0,16.0,120.77,279.0,1801.0,17.0,5.0,51.0,337.0,21.0,302.0,3532.0,34.0,20.0,1655.0,18.0,19.0,7.0,3.0,1.0,342.0,51.0,18.0,50.72,41.5,3.0,8.0,26.0,22.0,8.0,5.0,46.0,45.0,19.0,644.0,5041.0,49.0,14.0,22.0,8.876712328767123,6.455197132616488,76.43835616438356,8.767123287671232,2.4657534246575343,4.199475065616798,6.093189964157706,0.1827956989247312,18.711826762909496,7.526881720430108,6.289308176100629,46.857304643261614,11.695364238410596,0.07608695652173914,7.827639751552795,8.0,202.5,112.5625,220.75,315.0625,22.8125,17.4375,1.125,1.125,1.1875,0.5625,1.0,21.0,1.3125,1.3082437275985663,84.61538461538461,62.5,97.82608695652173,16.666666666666664
Seahawks,27,NFC,13.0,3.0,0.0,0.8125,359.0,265.0,3261.0,37.0,11.0,11.0,0.0,11.0,118.82,256.0,1387.0,16.0,4.0,52.0,342.0,10.0,276.0,3399.0,40.0,14.0,1609.0,24.5,20.0,7.0,4.0,2.0,307.0,59.0,17.0,53.0,45.29,2.0,7.0,17.0,14.0,6.0,3.0,52.0,52.0,15.0,615.0,4648.0,53.0,15.0,24.0,9.083565459610028,5.41796875,73.81615598885793,10.30640668523677,3.064066852367688,2.9729729729729732,6.25,0.203125,24.65753424657534,3.90625,4.844290657439446,47.33745219182112,12.315217391304348,0.08617886178861789,7.557723577235772,9.0,203.8125,86.6875,212.4375,290.5,22.4375,16.0,1.0625,1.53125,1.25,0.6875,0.6875,10.0,0.625,1.40234375,82.35294117647058,50.0,100.0,11.76470588235294
Steelers,28,AFC,8.0,7.0,0.0,0.5333333333333333,314.0,205.0,2462.0,15.0,19.0,19.0,0.0,13.0,81.04,291.0,1845.0,29.0,6.0,50.0,533.0,18.0,205.0,2462.0,15.0,16.0,1074.0,21.0,20.0,5.0,2.0,2.0,321.0,51.0,27.0,44.15,37.78,3.0,5.0,17.0,14.0,6.0,3.0,44.0,43.0,43.0,605.0,4307.0,44.0,25.0,22.0,7.840764331210191,6.34020618556701,65.28662420382165,4.777070063694268,6.050955414012739,3.9755351681957185,9.965635738831615,0.1718213058419244,28.888888888888886,6.185567010309279,7.2727272727272725,43.623070674248574,12.009756097560976,0.07272727272727272,7.11900826446281,-3.0,164.13333333333333,123.0,164.13333333333333,287.1333333333333,20.933333333333334,19.4,1.8,1.4,1.3333333333333333,1.2666666666666666,0.8666666666666667,18.0,1.2,1.0790378006872852,82.35294117647058,50.0,97.72727272727273,11.11111111111111
Texans,31,AFC,5.0,11.0,0.0,0.3125,384.0,277.0,3833.0,33.0,27.0,27.0,0.0,8.0,106.79,219.0,957.0,14.0,4.0,51.0,320.0,5.0,287.0,3968.0,34.0,28.0,1550.0,12.0,17.0,5.0,1.0,3.0,358.0,37.0,16.0,44.12,30.31,3.0,4.0,14.0,10.0,3.0,0.0,47.0,46.0,5.0,603.0,4790.0,47.0,31.0,18.0,9.981770833333334,4.36986301369863,72.13541666666666,8.59375,7.03125,2.0408163265306123,6.392694063926941,0.2328767123287671,33.437826541274816,2.28310502283105,8.88888888888889,39.0625,13.825783972125436,0.0779436152570481,7.9436152570480925,-13.0,239.5625,59.8125,248.0,299.375,24.0,13.6875,1.0,0.75,1.0625,1.6875,0.5,5.0,0.3125,1.7534246575342465,71.42857142857143,0.0,97.87234042553192,18.75
Titans,29,AFC,10.0,6.0,0.0,0.625,372.0,271.0,3687.0,31.0,24.0,24.0,0.0,19.0,108.56,282.0,1305.0,23.0,7.0,80.0,376.0,6.0,271.0,3687.0,31.0,24.0,1506.0,16.0,28.0,7.0,4.0,3.0,321.0,38.0,16.0,48.81,40.62,6.0,2.0,13.0,10.0,2.0,2.0,51.0,50.0,16.0,654.0,4992.0,54.0,31.0,32.0,9.911290322580646,4.627659574468085,72.84946236559139,8.333333333333332,6.451612903225806,4.859335038363171,8.156028368794328,0.28368794326241137,28.812260536398465,2.127659574468085,8.041958041958042,40.84621643612693,13.605166051660516,0.08256880733944955,7.63302752293578,1.0,230.4375,81.5625,230.4375,312.0,23.25,17.625,1.0,1.0,1.75,1.5,1.1875,6.0,0.375,1.3191489361702127,76.92307692307693,100.0,98.0392156862745,37.5
Vikings,30,NFC,4.0,11.0,0.0,0.26666666666666666,324.0,202.0,2282.0,20.0,25.0,25.0,0.0,19.0,82.46,246.0,1199.0,9.0,7.0,63.0,436.0,7.0,202.0,2282.0,20.0,21.0,1097.0,13.0,14.0,6.0,4.0,1.0,301.0,26.0,25.0,47.88,42.8,4.0,4.0,10.0,7.0,2.0,0.0,29.0,29.0,38.0,570.0,3481.0,29.0,32.0,18.0,7.04320987654321,4.873983739837398,62.34567901234568,6.172839506172839,7.716049382716049,5.539358600583091,3.6585365853658534,0.25609756097560976,36.36363636363637,2.8455284552845526,9.389671361502346,48.07186678352323,11.297029702970297,0.05087719298245614,6.107017543859649,-14.0,152.13333333333333,79.93333333333334,152.13333333333333,232.06666666666666,21.6,16.4,1.6666666666666667,0.8666666666666667,0.9333333333333333,1.6666666666666667,1.2666666666666666,7.0,0.4666666666666667,1.3170731707317074,70.0,0.0,100.0,16.0
