team__displayName,team__abbrName,team__logoId,team__logo,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,recTotalCatches,recAvgCatchPct,recTotalDrops,recTotalLongest,recTotalTDs,recTotalYdsAfterCatch,recTotalYds,recAvgYacPerCatch,recAvgYdsPerCatch,recAvgYdsPerGame
Buccaneers,TB,5,,HB,553386377,Denard Simms,0,0,4069,37,5,35.10,12,92.31,1,22,2,98,111,8.17,9.25,12.33
Buccaneers,TB,5,,TE,553388377,Jake Seymour,0,0,3666,82,4,15.00,5,100.00,0,22,1,18,40,3.60,8.00,3.64
Buccaneers,TB,5,,WR,553386688,J.P. Smith,0,0,4064,81,11,90.90,31,83.78,6,32,4,93,359,3.00,11.58,32.64
Buccaneers,TB,5,,WR,553386714,Emeka Egbuka,1,0,10542,2,11,204.90,73,91.25,7,72,5,260,1019,3.56,13.96,92.64
Buccaneers,TB,5,,WR,553388982,Isaiah Bond,1,0,10494,16,4,21.60,9,100.00,0,33,0,80,126,8.89,14.00,25.20
Buccaneers,TB,5,,HB,553386604,Josh Williams,1,0,0,18,3,17.30,7,100.00,0,10,1,25,43,3.57,6.14,3.91
Buccaneers,TB,5,,WR,553387359,Tez Johnson,1,0,10613,15,2,3.60,2,100.00,0,16,0,4,16,2.00,8.00,1.45
Buccaneers,TB,5,,HB,553387244,Bucky Irving,2,5,10113,7,8,54.30,22,95.65,1,22,2,165,203,7.50,9.23,18.45
Buccaneers,TB,5,,WR,553387758,Jalen McMillan,2,0,10176,11,9,86.30,25,100.00,0,45,4,182,373,7.28,14.92,33.91
Buccaneers,TB,5,,TE,553388017,Cade Otton,4,0,1872,88,9,79.80,35,92.11,3,29,1,110,388,3.14,11.09,35.27
Buccaneers,TB,5,,TE,553387128,Parker Hesse,6,0,892,85,1,2.10,1,100.00,0,11,0,3,11,3.00,11.00,1.00
Cardinals,ARI,6,,HB,553386146,Clyde Stackhouse,0,0,3402,38,9,57.10,13,86.67,2,77,2,182,321,14.00,24.69,26.75
Cardinals,ARI,6,,WR,553387062,Marvin Harrison Jr,2,0,10102,18,11,107.40,35,85.37,6,73,3,182,544,5.20,15.54,45.33
Cardinals,ARI,6,,TE,553388196,Tip Reiman,2,0,10225,87,3,0.00,0,0.00,3,0,0,0,0,0.00,0.00,0.00
Cardinals,ARI,6,,TE,553387139,Elijah Higgins,3,0,2209,84,2,2.00,1,50.00,1,10,0,1,10,1.00,10.00,1.11
Cardinals,ARI,6,,WR,553388926,Michael Wilson,3,0,2480,14,6,32.20,11,84.62,2,41,2,66,92,6.00,8.36,7.67
Cardinals,ARI,6,,TE,553387696,Trey McBride,4,0,1830,85,9,56.80,23,88.46,3,56,0,103,338,4.48,14.70,30.73
Cardinals,ARI,6,,HB,553386498,James Conner,9,0,8515,6,4,6.80,5,100.00,0,8,0,20,18,4.00,3.60,1.50
Cardinals,ARI,6,,WR,553387153,Tyreek Hill,10,0,8052,82,11,107.70,37,84.09,7,37,3,150,527,4.05,14.24,47.91
Chargers,LAC,7,,WR,553386967,Phillip Crayton,0,0,3765,17,6,33.60,14,87.50,2,23,1,44,136,3.14,9.71,13.60
Chargers,LAC,7,,HB,553387024,Omarion Hampton,1,0,10572,8,11,75.10,36,97.30,1,26,1,307,331,8.53,9.19,30.09
Chargers,LAC,7,,TE,553386871,Oronde Gadsden II,1,0,10558,86,10,123.80,39,86.67,6,34,6,130,488,3.33,12.51,48.80
Chargers,LAC,7,,WR,553387060,Tre Harris,1,0,10578,9,11,147.20,47,95.92,2,56,6,175,642,3.72,13.66,58.36
Chargers,LAC,7,,WR,553387710,Ladd McConkey,2,0,10169,15,9,113.80,33,89.19,4,43,5,130,508,3.94,15.39,46.18
